epoch,seed,val_loss,val_acc,test_acc,macro_test_acc,,,,,,,
0,801707,0.036419831,0.490881459,0.50971251,0.370961707,,,,,,,
1,801707,0.032669128,0.597264438,0.633255633,0.478418316,,,,,,,
2,801707,0.029263766,0.624620061,0.65034965,0.598363888,,,,,,,
3,801707,0.031547286,0.56231003,0.628593629,0.636683438,,,,,,,
4,801707,0.027527829,0.618541033,0.662781663,0.655428732,,,,,,,
5,801707,0.02763465,0.647416413,0.686091686,0.617532061,,,,,,,
6,801707,0.02736167,0.639817629,0.656565657,0.659057586,,,,,,,
7,801707,0.026093709,0.668693009,0.68997669,0.669651472,,,,,,,
8,801707,0.02584111,0.658054711,0.690753691,0.670694586,,,,,,,
9,801707,0.029225848,0.647416413,0.64957265,0.624142267,,,,,,,
10,801707,0.02879886,0.6443769,0.695415695,0.696412368,,,,,,,
11,801707,0.028383058,0.668693009,0.682983683,0.672637681,,,,,,,
12,801707,0.030785392,0.598784195,0.64024864,0.677383924,,,,,,,
13,801707,0.037166685,0.595744681,0.617715618,0.589030719,,,,,,,
14,801707,0.032872635,0.635258359,0.66977467,0.674416944,,,,,,,
15,801707,0.031628609,0.661094225,0.683760684,0.65666987,,,,,,,
16,801707,0.046561508,0.592705167,0.648018648,0.668493592,,,,,,,
17,801707,0.037876567,0.610942249,0.668997669,0.672666907,,,,,,,
18,801707,0.037284929,0.632218845,0.651126651,0.660922141,,,,,,,
19,801707,0.038662293,0.621580547,0.643356643,0.663403824,,,,,,,
20,801707,0.043010639,0.617021277,0.688422688,0.679864248,,,,,,,
21,801707,0.040417489,0.659574468,0.688422688,0.670157154,,,,,,,
22,801707,0.049808044,0.61550152,0.655011655,0.674352952,,,,,,,
23,801707,0.048237844,0.621580547,0.647241647,0.640383451,,,,,,,
24,801707,0.041937596,0.653495441,0.682983683,0.670623205,,,,,,,
25,801707,0.048016052,0.594224924,0.654234654,0.675248475,,,,,,,
26,801707,0.051690493,0.624620061,0.658119658,0.65388163,,,,,,,
27,801707,0.050909639,0.642857143,0.682983683,0.649247776,,,,,,,
28,801707,0.051302542,0.617021277,0.648795649,0.652369348,,,,,,,
29,801707,0.047361699,0.639817629,0.664335664,0.637535122,,,,,,,
30,801707,0.054719084,0.639817629,0.670551671,0.662331336,,,,,,,
31,801707,0.055704969,0.626139818,0.65034965,0.652849873,,,,,,,
32,801707,0.057574246,0.618541033,0.645687646,0.650781292,,,,,,,
33,801707,0.054911802,0.661094225,0.672882673,0.652000363,,,,,,,
34,801707,0.052210811,0.6443769,0.668220668,0.648287651,,,,,,,
35,801707,0.057936747,0.6443769,0.672882673,0.647068202,,,,,,,
36,801707,0.060137955,0.633738602,0.662004662,0.663615203,,,,,,,
37,801707,0.063637852,0.635258359,0.642579643,0.651346702,,,,,,,
38,801707,0.061129295,0.662613982,0.670551671,0.640076903,,,,,,,
39,801707,0.061609784,0.601823708,0.634032634,0.587916926,,,,,,,
40,801707,0.056526764,0.639817629,0.664335664,0.656804374,,,,,,,
41,801707,0.05611331,0.655015198,0.684537685,0.674871175,,,,,,,
42,801707,0.058101735,0.650455927,0.680652681,0.668341959,,,,,,,
43,801707,0.058933681,0.655015198,0.673659674,0.66726445,,,,,,,
44,801707,0.061390016,0.636778116,0.675990676,0.667787546,,,,,,,
45,801707,0.060770817,0.664133739,0.683760684,0.644735737,,,,,,,
46,801707,0.06178482,0.6443769,0.67987568,0.671289554,,,,,,,
47,801707,0.061106157,0.645896657,0.672105672,0.670383275,,,,,,,
48,801707,0.062794856,0.641337386,0.676767677,0.666589943,,,,,,,
49,801707,0.064283464,0.647416413,0.670551671,0.667817004,,,,,,,
50,801707,0.064527367,0.64893617,0.66977467,0.670565696,,,,,,,
51,801707,0.066380753,0.64893617,0.668220668,0.663200972,,,,,,,
52,801707,0.067884497,0.633738602,0.658896659,0.65784856,,,,,,,
53,801707,0.068837464,0.633738602,0.662004662,0.663919892,,,,,,,
54,801707,0.071755302,0.632218845,0.654234654,0.66066745,,,,,,,
55,801707,0.067660932,0.651975684,0.667443667,0.657022402,,,,,,,
56,801707,0.066496498,0.651975684,0.663558664,0.66765111,,,,,,,
57,801707,0.067838657,0.642857143,0.662781663,0.654458776,,,,,,,
58,801707,0.067848623,0.656534954,0.663558664,0.659831868,,,,,,,
59,801707,0.067656862,0.64893617,0.668997669,0.662390269,,,,,,,
60,801707,0.066939948,0.64893617,0.662781663,0.650139748,,,,,,,
61,801707,0.067778231,0.647416413,0.661227661,0.650851536,,,,,,,
62,801707,0.068214063,0.653495441,0.657342657,0.649522795,,,,,,,
63,801707,0.067987106,0.647416413,0.661227661,0.651509562,,,,,,,
64,801707,0.068005205,0.642857143,0.66045066,0.657166229,,,,,,,
65,801707,0.068211193,0.651975684,0.666666667,0.658741503,,,,,,,
66,801707,0.068931927,0.647416413,0.65967366,0.655611468,,,,,,,
67,801707,0.068460934,0.650455927,0.661227661,0.655167346,,,,,,,
68,801707,0.06938234,0.647416413,0.658119658,0.656421478,,,,,,,
69,801707,0.068352383,0.64893617,0.661227661,0.657865781,,,,,,,
70,801707,0.068714246,0.647416413,0.66045066,0.658083764,,,,,,,
71,801707,0.06930513,0.64893617,0.661227661,0.656520272,,,,,,,
72,801707,0.069158769,0.645896657,0.661227661,0.655870404,,,,,,,
73,801707,0.069156815,0.650455927,0.663558664,0.661078416,,,,,,,
74,801707,0.068687427,0.64893617,0.663558664,0.659511012,,,,,,,
75,801707,0.068603319,0.650455927,0.663558664,0.659190157,,,,,,,
76,801707,0.06876982,0.645896657,0.663558664,0.660152724,,,,,,,
77,801707,0.068491956,0.650455927,0.664335664,0.65929303,,,,,,,
78,801707,0.068787531,0.647416413,0.661227661,0.657754464,,,,,,,
79,801707,0.068725644,0.64893617,0.663558664,0.659996375,,,,,,,
80,801707,0.06902933,0.651975684,0.661227661,0.658881537,,,,,,,
81,801707,0.068831992,0.650455927,0.662781663,0.659408139,,,,,,,
82,801707,0.068764446,0.64893617,0.663558664,0.662641621,,,,,,,
83,801707,0.068922286,0.650455927,0.662004662,0.662271368,,,,,,,
84,801707,0.069559729,0.651975684,0.658896659,0.660740959,,,,,,,
85,801707,0.068867773,0.650455927,0.665889666,0.661933744,,,,,,,
86,801707,0.069115943,0.64893617,0.65967366,0.657548717,,,,,,,
87,801707,0.069165447,0.64893617,0.66045066,0.657651591,,,,,,,
88,801707,0.069269632,0.64893617,0.66045066,0.657972446,,,,,,,
89,801707,0.069094701,0.651975684,0.665889666,0.66191743,,,,,,,
90,801707,0.069162995,0.650455927,0.663558664,0.659996375,,,,,,,
91,801707,0.069064671,0.650455927,0.665112665,0.661875903,,,,,,,
92,801707,0.068662435,0.651975684,0.665112665,0.659284586,,,,,,,
93,801707,0.069053331,0.655015198,0.663558664,0.659564202,,,,,,,
94,801707,0.069243782,0.655015198,0.665112665,0.661382383,,,,,,,
95,801707,0.069377876,0.651975684,0.664335664,0.661444017,,,,,,,
96,801707,0.069564344,0.650455927,0.662004662,0.659679311,,,,,,,
97,801707,0.069374142,0.64893617,0.662004662,0.659358455,,,,,,,
98,801707,0.06939815,0.64893617,0.661227661,0.658449364,,,,,,,
99,801707,0.068269509,0.64893617,0.676767677,0.667973066,,,,,,,
,,,,,,,,,,,,
2025-05-08 03:55:33.677 [info] [run-wju1gv1y1yua5ejh]: ================================================================================,,,,,,,,,,,,
2025-05-08 03:55:33.677 [info] [run-wju1gv1y1yua5ejh]: Validation best_acc: 0.668693009118541  best_num_epoch: 10,,,,,,,,,,,,
