epoch,seed,val_loss,val_acc,test_acc,macro_test_acc,,,,,,,,
0,158552,0.042364309,0.428571429,0.45998446,0.289774147,,,,,,,,
1,158552,0.035094502,0.541033435,0.536130536,0.493150243,,,,,,,,
2,158552,0.029775776,0.603343465,0.643356643,0.560756469,,,,,,,,
3,158552,0.02704578,0.655015198,0.658119658,0.615222191,,,,,,,,
4,158552,0.02787579,0.638297872,0.668220668,0.612190636,,,,,,,,
5,158552,0.025754847,0.67781155,0.672882673,0.646896343,,,,,,,,
6,158552,0.03233716,0.553191489,0.587412587,0.627209494,,,,,,,,
7,158552,0.028769,0.647416413,0.662781663,0.629658668,,,,,,,,
8,158552,0.02994444,0.589665653,0.624708625,0.614290699,,,,,,,,
9,158552,0.032366854,0.630699088,0.623154623,0.508177536,,,,,,,,
10,158552,0.028211852,0.632218845,0.668220668,0.660716681,,,,,,,,
11,158552,0.027780289,0.647416413,0.661227661,0.672452716,,,,,,,,
12,158552,0.029805992,0.641337386,0.675990676,0.67688418,,,,,,,,
13,158552,0.028146958,0.665653495,0.671328671,0.67655698,,,,,,,,
14,158552,0.034346099,0.609422492,0.644133644,0.562285148,,,,,,,,
15,158552,0.032665725,0.639817629,0.679098679,0.674411478,,,,,,,,
16,158552,0.033865621,0.665653495,0.684537685,0.651862298,,,,,,,,
17,158552,0.046652834,0.568389058,0.599067599,0.637621865,,,,,,,,
18,158552,0.034230829,0.632218845,0.656565657,0.6486204,,,,,,,,
19,158552,0.033411736,0.632218845,0.665112665,0.686721672,,,,,,,,
20,158552,0.04294663,0.600303951,0.625485625,0.624633262,,,,,,,,
21,158552,0.042610905,0.629179331,0.675213675,0.65470505,,,,,,,,
22,158552,0.041336254,0.647416413,0.679098679,0.670802056,,,,,,,,
23,158552,0.037818288,0.655015198,0.662781663,0.669169662,,,,,,,,
24,158552,0.043989158,0.645896657,0.672882673,0.672136254,,,,,,,,
25,158552,0.039251012,0.676291793,0.657342657,0.662593287,,,,,,,,
26,158552,0.044399461,0.621580547,0.658896659,0.651063914,,,,,,,,
27,158552,0.047099635,0.62006079,0.646464646,0.646410462,,,,,,,,
28,158552,0.042500252,0.612462006,0.65967366,0.657097705,,,,,,,,
29,158552,0.049795041,0.623100304,0.64957265,0.642364909,,,,,,,,
30,158552,0.047953298,0.659574468,0.672105672,0.672216717,,,,,,,,
31,158552,0.057898942,0.601823708,0.656565657,0.658572723,,,,,,,,
32,158552,0.050126908,0.659574468,0.66977467,0.680280356,,,,,,,,
33,158552,0.058655724,0.636778116,0.673659674,0.672064521,,,,,,,,
34,158552,0.060749883,0.639817629,0.667443667,0.670085865,,,,,,,,
35,158552,0.055302571,0.626139818,0.662004662,0.672342259,,,,,,,,
36,158552,0.055883129,0.61550152,0.665112665,0.690587468,,,,,,,,
37,158552,0.060067794,0.636778116,0.664335664,0.659458535,,,,,,,,
38,158552,0.058704712,0.645896657,0.679098679,0.64461863,,,,,,,,
39,158552,0.06096008,0.632218845,0.648795649,0.675245127,,,,,,,,
40,158552,0.06191903,0.641337386,0.679098679,0.664484959,,,,,,,,
41,158552,0.073883341,0.609422492,0.643356643,0.681188947,,,,,,,,
42,158552,0.067459999,0.624620061,0.651903652,0.66686326,,,,,,,,
43,158552,0.066712249,0.621580547,0.67987568,0.674959472,,,,,,,,
44,158552,0.06392959,0.664133739,0.675990676,0.667918443,,,,,,,,
45,158552,0.068438933,0.62006079,0.644910645,0.656370841,,,,,,,,
46,158552,0.066086575,0.633738602,0.651903652,0.647115389,,,,,,,,
47,158552,0.063006874,0.661094225,0.692307692,0.680926525,,,,,,,,
48,158552,0.069852748,0.635258359,0.66045066,0.669456871,,,,,,,,
49,158552,0.066113092,0.658054711,0.681429681,0.692810206,,,,,,,,
