epoch,seed,val_loss,val_acc,test_acc,macro_test_acc,,,,,,,,
50,158552,0.068661525,0.638297872,0.678321678,0.682714417,,,,,,,,
51,158552,0.068857234,0.667173252,0.684537685,0.681676409,,,,,,,,
52,158552,0.070540361,0.6443769,0.664335664,0.673014065,,,,,,,,
53,158552,0.071932755,0.653495441,0.66977467,0.668624553,,,,,,,,
54,158552,0.072674888,0.659574468,0.667443667,0.661464503,,,,,,,,
55,158552,0.075423209,0.621580547,0.653457653,0.669803752,,,,,,,,
56,158552,0.072539593,0.642857143,0.674436674,0.657691101,,,,,,,,
57,158552,0.073908954,0.64893617,0.677544678,0.685198708,,,,,,,,
58,158552,0.077141266,0.650455927,0.662004662,0.683895706,,,,,,,,
59,158552,0.074437973,0.639817629,0.673659674,0.686587223,,,,,,,,
60,158552,0.076012771,0.642857143,0.665112665,0.678727787,,,,,,,,
61,158552,0.074072365,0.641337386,0.668220668,0.673903457,,,,,,,,
62,158552,0.074622244,0.651975684,0.672105672,0.681980043,,,,,,,,
63,158552,0.07689865,0.638297872,0.666666667,0.673080471,,,,,,,,
64,158552,0.074235296,0.653495441,0.672105672,0.673065636,,,,,,,,
65,158552,0.073806693,0.656534954,0.678321678,0.679103931,,,,,,,,
66,158552,0.075739661,0.661094225,0.674436674,0.683082238,,,,,,,,
67,158552,0.076054332,0.658054711,0.672882673,0.684340494,,,,,,,,
68,158552,0.080505412,0.642857143,0.666666667,0.670786795,,,,,,,,
69,158552,0.078703095,0.653495441,0.673659674,0.673197458,,,,,,,,
70,158552,0.075445743,0.647416413,0.676767677,0.676263575,,,,,,,,
71,158552,0.076007681,0.64893617,0.677544678,0.678641848,,,,,,,,
72,158552,0.076727447,0.645896657,0.670551671,0.67681057,,,,,,,,
73,158552,0.076850578,0.645896657,0.667443667,0.674457629,,,,,,,,
74,158552,0.077419571,0.645896657,0.665889666,0.673392476,,,,,,,,
75,158552,0.078322448,0.645896657,0.665889666,0.674318168,,,,,,,,
76,158552,0.077987462,0.6443769,0.665889666,0.673236126,,,,,,,,
77,158552,0.080448122,0.6443769,0.66045066,0.669685702,,,,,,,,
78,158552,0.079785617,0.64893617,0.65967366,0.668283091,,,,,,,,
79,158552,0.079223876,0.655015198,0.663558664,0.67018404,,,,,,,,
80,158552,0.079653517,0.653495441,0.665889666,0.671195717,,,,,,,,
81,158552,0.079393201,0.651975684,0.666666667,0.673952974,,,,,,,,
82,158552,0.079952947,0.653495441,0.663558664,0.671340524,,,,,,,,
83,158552,0.077536331,0.650455927,0.668997669,0.673475936,,,,,,,,
84,158552,0.078404453,0.655015198,0.668997669,0.673858138,,,,,,,,
85,158552,0.078955972,0.655015198,0.664335664,0.674228678,,,,,,,,
86,158552,0.079403306,0.658054711,0.662781663,0.67338122,,,,,,,,
87,158552,0.079889831,0.658054711,0.658896659,0.67546385,,,,,,,,
88,158552,0.081705754,0.647416413,0.665112665,0.669759451,,,,,,,,
89,158552,0.0814778,0.650455927,0.666666667,0.677777502,,,,,,,,
90,158552,0.081448604,0.651975684,0.664335664,0.676177303,,,,,,,,
91,158552,0.077950202,0.653495441,0.667443667,0.671418564,,,,,,,,
92,158552,0.079126799,0.650455927,0.668220668,0.676388155,,,,,,,,
93,158552,0.079964913,0.64893617,0.664335664,0.675351552,,,,,,,,
94,158552,0.078537399,0.64893617,0.672105672,0.677811898,,,,,,,,
95,158552,0.079574973,0.64893617,0.664335664,0.673356914,,,,,,,,
96,158552,0.080898621,0.650455927,0.666666667,0.679017613,,,,,,,,
97,158552,0.081326546,0.650455927,0.663558664,0.676837336,,,,,,,,
98,158552,0.081534852,0.651975684,0.664335664,0.678441327,,,,,,,,
99,158552,0.081693817,0.650455927,0.665112665,0.67983578,,,,,,,,
,,,,,,,,,,,,,
2025-05-08 06:42:03.688 [info] [run-phexvmchzoqm1ho5]: ================================================================================,,,,,,,,,,,,,
2025-05-08 06:42:03.688 [info] [run-phexvmchzoqm1ho5]: Validation best_acc: 0.6778115501519757  best_num_epoch: 47,,,,,,,,,,,,,
